                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6002,                 2.2953,                0.90604,                0.46863,                0.32745,                0.36535,                0.10539,                 2.6656,                 2.2911,                0.95637,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.5437,                 2.2246,                0.90363,                0.28959,                0.30907,                 0.2375,                 0.0682,                 2.8935,                 2.2282,                0.99822,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.6105,                 2.2439,                0.91462,                0.28695,                0.30444,                0.26455,                0.06976,                 2.8401,                 2.3439,                0.98586,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.6526,                 2.3513,                0.90272,                0.29987,                0.31373,                0.34717,                0.09911,                  2.657,                 2.4114,                0.96327,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.7238,                 2.3001,                0.90713,                0.89041,                0.31373,                0.39228,                0.12188,                 2.5743,                 2.2716,                0.94695,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.5385,                 2.2394,                0.90965,                0.39938,                0.34314,                0.41658,                0.12677,                 2.6044,                 2.2391,                0.94974,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.6308,                 2.2761,                0.89511,                0.50195,                0.32206,                0.32527,                0.08801,                 2.7812,                  2.445,                0.98597,              0.0010234,              0.0010234,              0.0010234
                     42,                   2.57,                 2.1508,                0.90914,                0.34965,                0.30392,                0.32348,                 0.1001,                 2.7144,                 2.6369,                0.98349,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.5894,                 2.1778,                0.89381,                0.83252,                 0.3504,                0.39954,                0.13671,                 2.5589,                 2.5938,                 0.9437,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.6047,                 2.1535,                0.90085,                0.34635,                0.35362,                0.38787,                0.11325,                 2.6288,                 2.4728,                0.95763,             0.00097386,             0.00097386,             0.00097386
                     45,                 2.4575,                 2.0221,                0.91614,                0.42287,                0.39411,                0.35022,                0.09016,                 2.8087,                 2.2093,                0.98985,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.5816,                 2.0956,                0.90516,                0.40747,                0.42525,                0.35952,                0.12043,                 2.6293,                 2.1111,                0.95355,             0.00094085,             0.00094085,             0.00094085
                     47,                  2.571,                 2.0775,                0.89691,                0.40806,                0.39191,                 0.3863,                0.12734,                 2.6378,                 2.2081,                0.95672,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.4547,                 2.0851,                0.88006,                 0.5167,                0.39387,                0.43072,                0.13772,                   2.61,                 2.2643,                0.95137,             0.00090785,             0.00090785,             0.00090785
                     49,                 2.4458,                 1.9461,                0.90142,                0.47586,                 0.4348,                 0.4199,                0.14175,                 2.6385,                 2.0966,                0.96347,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.4816,                 2.0084,                0.89247,                0.46998,                0.41675,                0.42641,                0.12779,                 2.6176,                 2.1658,                0.96559,             0.00087484,             0.00087484,             0.00087484
                     51,                  2.459,                 1.9391,                0.88822,                 0.4341,                0.37054,                0.32968,                0.09598,                 2.7058,                 2.1451,                 0.9854,             0.00085834,             0.00085834,             0.00085834
                     52,                  2.588,                 2.0672,                0.88912,                0.38688,                0.36093,                0.32291,                0.09539,                 2.6744,                 2.2321,                0.98241,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.4164,                 2.0438,                0.89632,                0.25902,                0.19608,                  0.167,                0.04038,                 3.0517,                 2.4735,                 1.0478,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.5183,                 2.0288,                0.91296,                0.36299,                0.27574,                 0.2307,                0.06956,                 2.9194,                 2.3361,                 1.0168,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.4976,                  2.041,                0.86974,                0.48776,                0.39853,                0.38141,                0.11874,                 2.7097,                 2.2942,                0.97314,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.6133,                 2.0195,                 0.9084,                0.50004,                0.36667,                0.42721,                0.12459,                  2.702,                 2.4227,                0.97005,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.5428,                 1.9725,                0.90199,                0.47272,                0.34566,                0.38748,                0.11696,                 2.7019,                 2.4447,                0.97017,             0.00075932,             0.00075932,             0.00075932
                     58,                 2.4401,                 1.9428,                0.87112,                0.43072,                0.29657,                0.31619,                0.08957,                  2.765,                 2.5194,                0.97802,             0.00074282,             0.00074282,             0.00074282
                     59,                 2.5486,                 2.0137,                0.87997,                0.46614,                0.35098,                0.36749,                0.09914,                 2.6618,                 2.4976,                0.95837,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.5492,                 1.8912,                0.92057,                0.42582,                0.30907,                0.33233,                0.09765,                 2.6638,                 2.5178,                0.95283,             0.00070981,             0.00070981,             0.00070981
                     61,                  2.551,                 1.9246,                0.90309,                0.42735,                0.34706,                0.36041,                0.10134,                 2.6474,                 2.3815,                0.95006,             0.00069331,             0.00069331,             0.00069331
                     62,                 2.5009,                 1.9288,                 0.8934,                0.41734,                0.39461,                0.41702,                  0.134,                 2.6009,                 2.2933,                0.94397,              0.0006768,              0.0006768,              0.0006768
                     63,                 2.4602,                 1.9448,                0.88776,                0.40867,                0.40147,                 0.3902,                  0.136,                 2.6656,                 2.2551,                0.95325,              0.0006603,              0.0006603,              0.0006603
                     64,                 2.4762,                 1.9139,                0.91181,                0.44782,                0.35825,                0.37331,                0.10867,                 2.6437,                 2.3818,                0.95197,              0.0006438,              0.0006438,              0.0006438
                     65,                 2.4642,                 1.8405,                0.89203,                0.38335,                0.27843,                0.28982,                0.08128,                 2.7317,                 2.5946,                0.96539,             0.00062729,             0.00062729,             0.00062729
                     66,                 2.4247,                  1.879,                0.88967,                0.87232,                0.32565,                0.41015,                0.11736,                 2.6454,                 2.4794,                0.95759,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.4265,                 1.8452,                0.87766,                 0.9081,                0.33333,                0.41343,                0.14045,                 2.5551,                 2.4449,                0.93923,             0.00059429,             0.00059429,             0.00059429
                     68,                 2.4564,                 1.8977,                0.88338,                0.87331,                0.35294,                0.42152,                0.14415,                 2.5735,                 2.4356,                0.94021,             0.00057778,             0.00057778,             0.00057778
                     69,                 2.4397,                 1.7991,                0.89358,                0.43634,                0.36127,                0.40733,                0.12964,                 2.5675,                 2.4429,                0.94197,             0.00056128,             0.00056128,             0.00056128
                     70,                 2.4364,                 1.8529,                0.88123,                0.43587,                0.38358,                 0.4211,                0.12009,                 2.5891,                 2.3197,                0.94345,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.4005,                 1.8523,                0.88958,                0.39753,                0.35833,                0.38715,                0.11959,                 2.5849,                 2.3097,                0.94346,             0.00052827,             0.00052827,             0.00052827
                     72,                 2.4018,                 1.7445,                0.88582,                0.42196,                0.35686,                0.37565,                0.12384,                 2.6011,                 2.3039,                0.94553,             0.00051177,             0.00051177,             0.00051177
                     73,                 2.4356,                 1.8222,                0.88675,                0.44544,                 0.3782,                0.42521,                0.12996,                 2.5753,                 2.3193,                0.93999,             0.00049527,             0.00049527,             0.00049527
                     74,                 2.3669,                 1.7508,                0.88506,                0.46242,                0.32271,                 0.3545,                0.10592,                 2.6515,                 2.4189,                0.95441,             0.00047876,             0.00047876,             0.00047876
                     75,                 2.4482,                 1.7598,                0.88449,                0.50058,                0.31286,                0.35759,                0.09731,                 2.7115,                 2.5628,                0.96601,             0.00046226,             0.00046226,             0.00046226
